Date_IV,DOY_IV,Pressure_IV,Vtotal,CO2ABS_IV,Cdry_IV,Timestamp,Chamber Vol,Label,Exp_dCdry/dt,Lin_dCdry/dt,Area,8100 Vol,Etime_IV,Collar Height,Exp_R2,Lin_R2,Keep ,Notes
6/28/22 13:18,179.55456,99.31,5156.9,0.09111,398.92,,,NIST_L13_R_Afternoon,2.35255,2.35255,314,,0,,0.994389,0.99439,1,
6/28/22 13:21,179.55685,99.3,5156.9,0.09697,437.46,,,NIST_L21_R_Afternoon,1.94541,1.94541,314,,0,,0.999086,0.999087,1,
6/28/22 13:24,179.55899,99.3,5313.9,0.09224,407.86,,,NIST_L22_R_Afternoon,2.17485,2.17485,314,,0,,0.995195,0.995196,0,
6/28/22 13:27,179.56106,99.3,5313.9,0.09209,404.26,,,NIST_L22_R_Afternoon_Att2,2.02371,2.02371,314,,0,,0.999099,0.9991,1,
6/28/22 13:35,179.56618,99.29,4842.9,0.09144,402.15,,,NIST_L23_R_Afternoon_Att3,1.64422,1.64422,314,,0,,0.999234,0.999234,1,
6/28/22 13:38,179.56858,99.31,4842.9,0.08922,392.23,,,NIST_L31_R_Afternoon,2.1973,2.1973,314,,0,,0.996554,0.996555,1,
6/28/22 13:41,179.57066,99.32,5313.9,0.08896,389.64,,,NIST_L32_R_Afternoon,2.579,2.308,314,,0,,0.9996,0.9989,1,
6/28/22 13:44,179.57275,99.31,5156.9,0.09251,404.18,,,NIST_L33_R_Afternoon,2.14085,2.14073,314,,0,,0.999086,0.999086,1,
6/28/22 13:48,179.57514,99.31,4999.9,0.09558,425.9,,,NIST_L41_R_Afternoon,2.30996,2.30996,314,,0,,0.999246,0.999247,1,
6/28/22 13:51,179.57737,99.3,4999.9,0.09125,403.07,,,NIST_L42_R_Afternoon,2.34256,2.24659,314,,0,,0.999449,0.999348,1,
6/28/22 13:54,179.57927,99.28,5313.9,0.09156,399.61,,,NIST_L43_R_Afternoon,2.07702,2.07702,314,,0,,0.998463,0.998464,1,
6/28/22 13:57,179.58127,99.31,5313.9,0.09411,417.12,,,NIST_L43_R_Afternoon_Att2,2.14383,2.13134,314,,0,,0.999331,0.999329,1,
6/28/22 14:32,179.60588,99.63,2216,0.08688,407.1,,,NIST_L11_NEE_Afternoon,-0.84624,-0.84624,314,,0,,0.996313,0.996313,1,
6/28/22 14:36,179.60848,99.55,2844,0.08315,387.33,,,NIST_L12_NEE_Afternoon,-1.53991,-1.53991,314,,0,,0.991971,0.991972,1,
6/28/22 14:39,179.61,99.5305,2530,0.0818545,383.832,,,NIST_L13_NEE_Afternoon,,,314,,0,,,,1,
6/28/22 14:43,179.6134,99.62,2530,0.08629,419.52,,,NIST_L21_NEE_Afternoon,-0.500104,-0.500104,314,,0,,-,0.990875,1,
6/28/22 14:46,179.61595,99.55,2687,0.09262,414.9,,,NIST_L22_NEE_Afternoon,-0.963032,-0.963032,314,,0,,0.996393,0.996393,1,
6/28/22 14:50,179.61815,99.66,2216,0.09059,407.85,,,NIST_L23_NEE_Afternoon,-0.709286,-0.709286,314,,0,,0.993869,0.993869,1,
6/28/22 14:53,179.62069,99.6,2216,0.087,390.44,,,NIST_L31_NEE_Afternoon,-2.72504,-2.72504,314,,0,,-,0.990412,1,
6/28/22 14:56,179.62284,99.55,2687,0.08077,388.15,,,NIST_L32_NEE_Afternoon,-1.45748,-1.45748,314,,0,,0.997079,0.997079,1,
6/28/22 15:00,179.62505,99.62,2530,0.08511,395.22,,,NIST_L33_NEE_Afternoon,-1.53872,-1.53872,314,,0,,0.996021,0.996021,1,
6/28/22 15:03,179.62772,99.62,2373,0.08075,379.42,,,NIST_L41_NEE_Afternoon,-1.81917,-1.81917,314,,0,,0.993135,0.993137,1,
6/28/22 15:07,179.629,99.4627,2373,0.0799186,378.491,,,NIST_L42_NEE_Afternoon,,,314,,0,,,,1,
6/28/22 15:10,179.631,99.6109,2687,0.083035,390.566,,,NIST_L43_NEE_Afternoon,,,314,,0,,,,1,
6/28/22 15:40,179.65338,99.11,5156.9,0.09016,399.42,,,NIST_FT2_NEE_Afternoon,1.98295,1.98295,314,,0,,0.99518,0.99518,1,
6/28/22 15:45,179.65647,99.08,5156.9,0.09458,427.64,,,NIST_FT3_R_Afternoon,2.95718,2.78651,314,,0,,0.999277,0.999015,1,
6/28/22 15:48,179.65888,99.06,5156.9,0.0926,410.88,,,NIST_FT6_R_Afternoon,3.40345,3.40345,314,,0,,0.995953,0.995953,1,
6/28/22 15:52,179.66131,99.07,5313.9,0.09025,396.72,,,NIST_FT5_R_Afternoon,2.20889,2.20481,314,,0,,0.998044,0.998044,1,
6/28/22 15:55,179.66324,99.08,5313.9,0.09329,407.77,,,NIST_FT4_R_Afternoon,2.33123,2.33123,314,,0,,0.999542,0.999543,1,
6/28/22 16:01,179.66793,99.34,2530,0.08797,392.12,,,NIST_FT2_NEE_Afternoon_Real,-0.374797,-0.374797,314,,0,,0.99042,0.99042,1,
6/28/22 16:06,179.67088,99.42,2530,0.08776,402.32,,,NIST_FT3_NEE_Afternoon,-2.09604,-2.09604,314,,0,,0.990419,0.99042,1,
6/28/22 16:09,179.67292,99.39,2530,0.08528,384.11,,,NIST_FT3_NEE_Afternoon_Att2,-0.817507,-0.817507,314,,0,,0.99616,0.99616,1,
6/28/22 16:13,179.67589,99.49,2530,0.0801,389.85,,,NIST_FT6_NEE_Afternoon,-1.82086,-1.82086,314,,0,,0.997093,0.997093,1,
6/28/22 16:19,179.68036,99.34,2687,0.06197,299.66,,,NIST_FT5_NEE_Afternoon_Att2,-0.48033,-0.48033,314,,0,,-,0.951798,1,
6/28/22 16:22,179.68249,99.38,2687,0.0807,368.9,,,NIST_FT5_NEE_Afternoon_Att3,-1.28504,-1.28504,314,,0,,-,0.992546,1,
6/28/22 16:27,179.68571,99.45,2687,0.07785,374.3,,,NIST_FT4_NEE_Afternoon,-1.27503,-1.27503,314,,0,,-,0.99844,1,
6/28/22 16:41,179.69554,99.42,2373,0.08385,388.14,,,NIST_FT7_NEE_Afternoon,-1.1419,-1.1419,314,,0,,0.994234,0.994235,1,
6/28/22 16:45,179.69817,99.24,2687,0.08036,370.96,,,NIST_FT8_NEE_Afternoon,1.17983,1.17983,314,,0,,0.994166,0.994166,1,
6/28/22 16:48,179.70032,99.41,2687,0.08183,387.87,,,NIST_FT8_NEE_Afternoon_Att2,1.51049,1.51049,314,,0,,0.995828,0.995829,1,
6/28/22 16:52,179.70329,99.16,2530,0.0802,386.7,,,NIST_FT9_NEE_Afternoon,-0.176231,-0.172128,314,,0,,0.855998,0.861652,1,
6/28/22 16:58,179.70699,99.1,5156.9,0.09266,408.18,,,NIST_FT9_R_Afternoon,2.17276,2.08379,314,,0,,0.999618,0.999492,1,
6/28/22 17:02,179.70977,99.09,5313.9,0.104,483.74,,,NIST_FT8_R_Afternoon,2.07707,2.07707,314,,0,,0.998809,0.99881,1,
6/28/22 17:05,179.71238,99.1,4999.9,0.09313,411.5,,,NIST_FT7_R_Afternoon,2.3532,2.3532,314,,0,,0.999414,0.999415,1,
