Notebook,EntryOrder,DOY,Date,Time,MeasRound,Collar,Note,Soil Moisture (%),Soil T (C)
Lab,169,180,6/29/2022,6/29/2022 10:17,1,GL3,,,
Lab,170,207,7/26/2022,7/26/2022 14:45,1,L11,,,
Lab,171,207,7/26/2022,7/26/2022 14:47,1,L12,,,
Lab,172,207,7/26/2022,7/26/2022 14:52,1,L13,,,
Lab,173,207,7/26/2022,7/26/2022 14:56,1,L21,,,
Lab,174,207,7/26/2022,7/26/2022 15:01,1,L22,,,
Lab,175,207,7/26/2022,7/26/2022 15:03,1,L23,,,
Lab,176,207,7/26/2022,7/26/2022 15:04,1,L31,,,
Lab,177,207,7/26/2022,7/26/2022 15:07,1,L32,,,
Lab,178,207,7/26/2022,7/26/2022 15:09,1,L33,,,
Lab,179,207,7/26/2022,7/26/2022 15:12,1,L41,Software disconnected during the measurment,,
Lab,180,207,7/26/2022,7/26/2022 15:14,1,L42,,,
Lab,181,207,7/26/2022,7/26/2022 15:16,1,L43,,,
Lab,182,208,7/27/2022,7/27/2022 8:35,1,GL1,,,
Lab,183,208,7/27/2022,7/27/2022 8:41,1,GL1 Att2,,,
Lab,190,208,7/27/2022,7/27/2022 8:38,1,GL1 Att3,,,
Lab,184,208,7/27/2022,7/27/2022 8:56,1,GL2,,,
Lab,189,208,7/27/2022,7/27/2022 8:59,1,GL2 Att2,,,
Lab,185,208,7/27/2022,7/27/2022 9:07,1,GL3,,,
Lab,186,208,7/27/2022,7/27/2022 9:10,1,GL3 Att2,,,
Lab,187,208,7/27/2022,7/27/2022 9:15,1,GL3 Att3,,,
Lab,188,208,7/27/2022,7/27/2022 9:20,1,GL3 Att4,,,
Lab,191,235,8/23/2022,14:41,1,FT2,,,
Lab,192,235,8/23/2022,14:48,1,FT3,,,
Lab,193,235,8/23/2022,14:52,1,FT4,,,
Lab,194,235,8/23/2022,14:56,1,FT5,,,
Lab,195,235,8/23/2022,15:00,1,FT6,,,
Lab,196,235,8/23/2022,15:05,1,FT7,,,
Lab,197,235,8/23/2022,15:11,1,FT8,,,
Lab,198,235,8/23/2022,15:15,1,FT9,,,
Andy,13,235,8/23/2022,10:53,1,GL1,,,
Andy,16,235,8/23/2022,11:06,1,GL1,"GL1_1, redid because fans were off",,
Andy,14,235,8/23/2022,11:03,1,GL2,,,
Andy,15,235,8/23/2022,11:17,1,GL3,,,
Andy,1,235,8/23/2022,9:45,1,L11,,38.34,24.1
Andy,2,235,8/23/2022,9:48,1,L12,,38.34,24.1
Andy,3,235,8/23/2022,9:50,1,L13,,38.34,24.1
Andy,4,235,8/23/2022,9:53,1,L21,,32.9,23.7
Andy,5,235,8/23/2022,9:56,1,L22,,32.9,23.7
Andy,6,235,8/23/2022,9:58,1,L23,,32.9,23.7
Andy,7,235,8/23/2022,10:01,1,L31,,27.7,23.8
Andy,8,235,8/23/2022,10:04,1,L32,,27.7,23.8
Andy,9,235,8/23/2022,10:06,1,L33,,27.7,23.8
Andy,10,235,8/23/2022,10:09,1,L41,,34.8,23.8
Andy,11,235,8/23/2022,10:12,1,L42,,34.8,23.8
Andy,12,235,8/23/2022,10:14,1,L43,,34.8,23.8
Andy,17,235,8/23/2022,16:18,2,GL1,,40.8,24.1
Andy,18,235,8/23/2022,15:28,2,GL2,,33.4,26.4
Andy,19,235,8/23/2022,15:43,2,GL3,,33.8,24.2
Andy,20,236,8/24/2022,8:40,1,FT2,,32.3,22.3
Andy,21,236,8/24/2022,8:36,1,FT3,Labelled as FT5,28.9,22.4
Andy,22,236,8/24/2022,8:32,1,FT4,,34.6,22.2
Andy,23,236,8/24/2022,8:26,1,FT5,,33.4,22.2
Andy,24,236,8/24/2022,8:20,1,FT6,,31.1,22.2
Andy,25,236,8/24/2022,8:16,1,FT7,,30.6,22.3
Andy,26,236,8/24/2022,8:13,1,FT8,,38,22.7
Andy,27,236,8/24/2022,8:00,1,FT9,"There is a note I can't quite read: PAR ___ high, use FT8 PAR ( I think it says ""likely""?)",23.7,22.4
Andy,28,236,8/24/2022,14:48,1,L11,,36.7,26.1
Andy,29,236,8/24/2022,14:50,1,L12,,36.7,26.1
Andy,30,236,8/24/2022,14:53,1,L13,,36.7,26.1
Andy,31,236,8/24/2022,14:39,1,L21,,28.3,25.4
Andy,32,236,8/24/2022,14:42,1,L22,,28.3,25.4
Andy,33,236,8/24/2022,14:45,1,L23,,28.3,25.4
Andy,34,236,8/24/2022,15:00,1,L31,,27,26.2
Andy,35,236,8/24/2022,15:03,1,L32,,27,26.2
Andy,36,236,8/24/2022,15:07,1,L33,,27,26.2
Andy,37,236,8/24/2022,14:30,1,L41,,31,26.1
Andy,38,236,8/24/2022,14:32,1,L42,,31,26.1
Andy,39,236,8/24/2022,14:34,1,L43,,31,26.1
Lab,199,265,9/22/2022,9/22/2022 16:57,1,FT2,,,
Lab,200,265,9/22/2022,9/22/2022 17:03,1,FT3,,,
Lab,201,265,9/22/2022,9/22/2022 17:08,1,FT4,,,
Lab,202,265,9/22/2022,9/22/2022 17:14,1,FT5,,,
Lab,203,265,9/22/2022,9/22/2022 17:19,1,FT7,,,
Lab,204,265,9/22/2022,9/22/2022 17:25,1,FT8 Att1,,,
Lab,205,265,9/22/2022,9/22/2022 17:31,1,FT8 Att2,,,
Lab,206,265,9/22/2022,9/22/2022 17:37,1,FT9,,,
Lab,231,266,9/23/2022,9/23/2022 12:48,1,FT2,,,
Lab,232,266,9/23/2022,9/23/2022 13:05,1,FT3,,,
Lab,233,266,9/23/2022,9/23/2022 13:11,1,FT4,,,
Lab,234,266,9/23/2022,9/23/2022 13:26,1,FT5,,,
Lab,235,266,9/23/2022,9/23/2022 15:37,1,GL1,,,
Lab,236,266,9/23/2022,9/23/2022 15:49,1,GL2,,,
Lab,237,266,9/23/2022,9/23/2022 16:07,1,GL3,,,
Lab,207,266,9/23/2022,9/23/2022 8:52,1,L11,,,
Lab,208,266,9/23/2022,9/23/2022 8:55,1,L12,,,
Lab,209,266,9/23/2022,9/23/2022 8:58,1,L13,,,
Lab,210,266,9/23/2022,9/23/2022 9:03,1,L21,,,
Lab,211,266,9/23/2022,9/23/2022 9:07,1,L22,,,
Lab,212,266,9/23/2022,9/23/2022 9:11,1,L23,,,
Lab,213,266,9/23/2022,9/23/2022 9:17,1,L31,,,
Lab,214,266,9/23/2022,9/23/2022 9:21,1,L32,,,
Lab,215,266,9/23/2022,9/23/2022 9:25,1,L33,,,
Lab,216,266,9/23/2022,9/23/2022 9:29,1,L41,,,
Lab,217,266,9/23/2022,9/23/2022 9:33,1,L42,,,
Lab,218,266,9/23/2022,9/23/2022 9:38,1,L43,,,
Lab,219,266,9/23/2022,9/23/2022 10:49,2,L11,,,
Lab,220,266,9/23/2022,9/23/2022 10:52,2,L12,,,
Lab,221,266,9/23/2022,9/23/2022 10:55,2,L13,,,
Lab,222,266,9/23/2022,9/23/2022 10:58,2,L21,,,
Lab,223,266,9/23/2022,9/23/2022 11:01,2,L22,,,
Lab,224,266,9/23/2022,9/23/2022 11:04,2,L23,,,
Lab,225,266,9/23/2022,9/23/2022 11:08,2,L31,,,
Lab,226,266,9/23/2022,9/23/2022 11:11,2,L32,,,
Lab,227,266,9/23/2022,9/23/2022 11:14,2,L33,,,
Lab,228,266,9/23/2022,9/23/2022 11:18,2,L41,,,
Lab,229,266,9/23/2022,9/23/2022 11:23,2,L42,,,
Lab,230,266,9/23/2022,9/23/2022 11:27,2,L43,,,
Andy,103,290,10/17/2022,9:17,1,FT2,,,
Andy,104,290,10/17/2022,9:23,1,FT3,,,
Andy,105,290,10/17/2022,9:26,1,FT4,,,
Andy,106,290,10/17/2022,9:31,1,FT5,,,
Andy,107,290,10/17/2022,9:36,1,FT6,,,
Andy,108,290,10/17/2022,9:42,1,FT7,,,
Andy,111,290,10/17/2022,9:54,1,FT7,,,
Andy,109,290,10/17/2022,9:47,1,FT8,,,
Andy,110,290,10/17/2022,9:52,1,FT9,,,
Andy,124,291,10/18/2022,14:00,1,GL1,fans not plugged in ,46.8,12.7
Andy,125,291,10/18/2022,14:10,1,GL2,fans not plugged in ,49.7,13.9
Andy,126,291,10/18/2022,14:20,1,GL3,"PAR was 1400 at 15:00

fans not plugged in ",48.2,12.9
Andy,114,291,10/18/2022,10:10,1,L11,,54.8,12.3
Andy,113,291,10/18/2022,10:07,1,L12,,54.8,12.3
Andy,112,291,10/18/2022,10:13,1,L13,,54.8,12.3
Andy,115,291,10/18/2022,10:15,1,L21,,52.8,12.4
Andy,116,291,10/18/2022,10:17,1,L22,,52.8,12.4
Andy,117,291,10/18/2022,10:19,1,L23,,52.8,12.4
Andy,118,291,10/18/2022,10:21,1,L31,,48.5,12.9
Andy,119,291,10/18/2022,10:23,1,L32,,48.5,12.9
Andy,120,291,10/18/2022,10:25,1,L33,,49.5,12.9
Andy,121,291,10/18/2022,10:27,1,L41,,50.2,13.2
Andy,122,291,10/18/2022,10:29,1,L42,,50.2,13.2
Andy,123,291,10/18/2022,10:32,1,L43,,50.2,13.2
