LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100,LI-8100
2022-10-18 10:40:26,291.444750,98.110000,4100.000000,404.240000,409.510000,20221018104026.000000,2197.000000,L33_NEE,-6.264920,314.000000,19.000000,0.000000,6.000000,0.997050,0.997050,-6.264920
2022-10-18 10:42:40,291.446300,98.130000,3786.000000,407.560000,412.810000,20221018104240.000000,2197.000000,L41_NEE,-4.712170,314.000000,19.000000,0.000000,5.000000,0.999390,0.999390,-4.712170
2022-10-18 10:45:00,291.447920,98.130000,3786.000000,408.240000,413.040000,20221018104500.000000,2197.000000,L42_NEE,-1.718850,314.000000,19.000000,0.000000,5.000000,0.991500,0.991500,-1.718850
2022-10-18 10:47:29,291.449640,98.010000,3943.000000,404.670000,409.390000,20221018104729.000000,2197.000000,L43_NEE,-3.350180,314.000000,19.000000,0.000000,5.500000,0.993500,0.993500,-3.350180
2022-10-18 10:54:20,291.454400,97.820000,6569.900000,411.450000,414.080000,20221018105406.000000,4823.900000,L43_R,3.790240,314.000000,19.000000,0.000000,5.500000,0.997500,0.996830,3.429390
2022-10-18 10:56:37,291.455980,97.820000,6412.900000,412.470000,415.740000,20221018105622.000000,4823.900000,L42_R,2.578710,314.000000,19.000000,0.000000,5.000000,0.993550,0.993550,2.578710
2022-10-18 10:59:17,291.457840,97.800000,6412.900000,410.510000,413.900000,20221018105902.000000,4823.900000,L41_R,4.851050,314.000000,19.000000,0.000000,5.000000,0.992130,0.987880,4.040420
2022-10-18 11:02:27,291.460030,97.830000,6726.900000,411.000000,413.880000,20221018110212.000000,4823.900000,L33_R,2.877190,314.000000,19.000000,0.000000,6.000000,0.995980,0.995980,2.877190
2022-10-18 11:05:04,291.461850,97.820000,6569.900000,412.180000,415.130000,20221018110449.000000,4823.900000,L32_R,4.588160,314.000000,19.000000,0.000000,5.500000,0.994950,0.994200,4.127670
2022-10-18 11:07:55,291.463830,97.820000,6412.900000,412.010000,414.890000,20221018110740.000000,4823.900000,L31_R,2.973740,314.000000,19.000000,0.000000,5.000000,0.997040,0.997040,2.973740
2022-10-18 11:10:59,291.465960,97.830000,6412.900000,412.820000,415.500000,20221018111045.000000,4823.900000,L23_R,4.043940,314.000000,19.000000,0.000000,5.000000,0.994520,0.993000,3.539230
2022-10-18 11:13:38,291.467800,97.830000,6569.900000,412.280000,414.870000,20221018111323.000000,4823.900000,L22_R,2.048880,314.000000,19.000000,0.000000,5.500000,0.985940,0.985940,2.048880
2022-10-18 11:16:36,291.469860,97.990000,6412.900000,413.590000,416.050000,20221018111621.000000,4823.900000,L21_R,1.833800,314.000000,19.000000,0.000000,5.000000,0.977100,0.975260,1.604140
2022-10-18 11:19:54,291.472150,97.960000,6412.900000,417.030000,420.130000,20221018111939.000000,4823.900000,L13_R,7.019420,314.000000,19.000000,0.000000,5.000000,0.821730,0.821730,7.019420
2022-10-18 11:22:10,291.473730,97.850000,6412.900000,413.430000,416.150000,20221018112155.000000,4823.900000,L13_R_Att2,3.344670,314.000000,19.000000,0.000000,5.000000,0.995130,0.992850,2.838190
2022-10-18 11:24:29,291.475340,97.850000,6412.900000,412.870000,415.420000,20221018112414.000000,4823.900000,L12_R,3.250620,314.000000,19.000000,0.000000,5.000000,0.997400,0.997400,3.250620
2022-10-18 11:27:01,291.477090,97.850000,6412.900000,412.670000,415.420000,20221018112646.000000,4823.900000,L11_R,2.729030,314.000000,19.000000,0.000000,5.000000,0.994720,0.994720,2.729030
2022-10-18 11:43:22,291.488450,97.840000,6412.900000,416.440000,419.140000,20221018114307.000000,4823.900000,L21_R_Att2,1.817490,314.000000,19.000000,0.000000,5.000000,0.978730,0.978530,1.705490
2022-10-18 11:46:24,291.490560,97.820000,6412.900000,412.540000,415.140000,20221018114609.000000,4823.900000,L21_R_Att3,2.487630,314.000000,19.000000,0.000000,5.000000,0.997850,0.997670,2.360100
2022-10-18 14:15:38,291.594190,97.700000,129677.000000,407.670000,410.730000,20221018141538.000000,127303.000000,GL3_NEE,-55.899680,314.000000,19.000000,0.000000,7.500000,0.996250,0.996250,-55.899680
2022-10-18 14:25:40,291.601160,97.620000,129520.000000,405.610000,409.500000,20221018142540.000000,127303.000000,GL2_NEE,-29.994750,314.000000,19.000000,0.000000,7.000000,0.985310,0.984880,-29.605530
2022-10-18 14:28:36,291.603190,98.070000,129520.000000,391.320000,397.690000,20221018142836.000000,127303.000000,GL2_R,52.438690,314.000000,19.000000,0.000000,7.000000,0.993080,0.992540,47.853840
2022-10-18 14:36:33,291.608720,97.710000,129677.000000,406.010000,409.190000,20221018143633.000000,127303.000000,GL1_NEE_CLOUDS,-38.554870,314.000000,19.000000,0.000000,7.500000,0.984420,0.983870,-38.132810
2022-10-18 14:40:18,291.611320,98.080000,129677.000000,391.960000,396.780000,20221018144018.000000,127303.000000,GL1_R,53.733450,314.000000,19.000000,0.000000,7.500000,0.985570,0.985530,52.539320
2022-10-18 15:14:20,291.634950,97.650000,129677.000000,403.750000,406.760000,20221018151420.000000,127303.000000,GL1_NEE,-132.919180,314.000000,19.000000,0.000000,7.500000,0.983580,0.983340,-131.479740
